English Words,French Words,Frequency
project,projet,248
world,monde,701
library,bibliothèque,230
their,leur,2089
often,souvent,127
public,Publique,56
certain,certain,153
copyright,droits d'auteur,227
version,version,220
complete,Achevée,241
works,travaux,223
provided,à condition de,248
college,Université,223
permission,autorisation,221
machine,machine,222
readable,lisible,223
copies,copies,441
distributed,distribué,441
others,autres,327
personal,personnel,221
prohibited,interdit,220
commercial,commercial,220
includes,comprend,220
service,un service,297
download,Télécharger,220
proud,fier,185
entertainment,divertissement,25
neither,ni,161
under,sous,295
welcome,Bienvenue,307
plain,plaine,112
since,depuis,197
hundred,cent,114
further,plus loin,155
below,au dessous de,43
number,nombre,71
letter,lettre,266
would,aurait,2276
about,sur,369
thank,remercier,349
midnight,minuit,35
month,mois,55
written,écrit,33
title,Titre,91
which,lequel,2301
paper,papier,79
other,autre,685
please,S'il vous plaît,37
point,point,126
general,général,168
small,petit,20
effect,effet,64
reputation,réputation,37
right,droite,276
condition,état,49
although,bien que,77
cannot,ne peux pas,750
party,fête,44
receive,recevoir,101
within,dans,338
money,argent,151
return,revenir,177
express,Express,2
particular,particulier,57
purpose,objectif,65
above,au dessus,125
cause,cause,77
freely,librement,43
think,pense,1017
write,écrire,132
creature,créature,75
might,pourrait,473
never,jamais,997
tender,soumissionner,132
bright,brillant,58
making,fabrication,78
where,où,1209
grave,la tombe,119
winter,hiver,50
worth,vaut,181
being,étant,656
beauty,beauté,179
shame,la honte,95
child,enfant,151
shall,doit,603
count,compter,100
blood,du sang,452
repair,réparation,40
lovely,charmant,50
through,par,254
window,la fenêtre,42
golden,d'or,90
image,image,47
nothing,rien,564
large,grand,62
given,donné,181
great,génial,864
having,ayant,154
nature,la nature,304
leave,laisser,645
gentle,doux,361
frame,Cadre,38
every,chaque,490
dwell,habiter,43
tyrant,tyran,46
quite,assez,74
flower,fleur,48
though,bien que,623
willing,prêt,35
breed,race,60
another,un autre,388
could,pourrait,615
death,décès,543
living,vivant,106
light,lumière,248
burning,brûlant,40
majesty,majesté,78
youth,jeunesse,208
mortal,mortel,92
weary,se lasser,69
feeble,faible,32
sweet,sucré,194
delight,délice,47
offend,offenser,60
chide,gronder,49
strike,la grève,62
happy,heureux,193
prove,prouver,248
widow,veuve,104
private,privé,61
spend,dépenser,7
place,endroit,330
enjoy,prendre plaisir,43
toward,vers,166
grant,subvention,106
chief,chef,106
change,changement,152
thought,pensée,457
wisdom,sagesse,29
without,sans pour autant,358
folly,folie,63
bounty,prime,35
meant,signifiait,45
brave,courageux,158
behold,voir,143
barren,Dénudé,38
green,vert,85
borne,supporté,72
longer,plus long,94
yours,le tiens,95
coming,venir,115
again,encore,459
after,après,382
eternal,éternel,35
father,père,667
fortune,fortune,318
brief,bref,77
thunder,tonnerre,53
prince,prince,757
heaven,paradis,572
knowledge,connaissance,66
truth,vérité,256
together,ensemble,168
thrive,prospérer,46
thing,chose,559
little,peu,452
nought,néant,48
shows,montre,6
perceive,apercevoir,90
before,avant,760
maiden,jeune fille,45
garden,jardin,41
painted,peint,50
outward,vers l'extérieur,48
drawn,tiré,75
believe,croyez,224
parts,les pièces,31
alive,vivant,60
twice,deux fois,65
rough,rugueux,59
sometime,parfois,35
complexion,complexion,36
chance,chance,96
blunt,cru,55
earth,Terre,199
pluck,cueillir,118
teeth,les dents,37
fierce,féroce,37
forbid,interdire,56
there,Là,1605
heart,cœur,808
acquainted,connaissance,35
object,objet,38
woman,femme,263
wrought,forgé,34
truly,vraiment,156
elder,aîné,34
therefore,par conséquent,614
bearing,palier,65
trust,confiance,27
forget,oublier,84
perfect,parfait,46
plead,plaider,45
tongue,langue,333
learn,apprendre,83
painter,peintre,43
table,table,57
wherein,où,129
hanging,pendaison,33
shape,forme,25
breast,Sein,21
therein,la bride,50
cunning,ruse,68
grace,la grâce,467
favour,favoriser,105
triumph,triomphe,44
pride,fierté,78
frown,froncer les sourcils,44
glory,gloire,71
merit,mérite,47
naked,nu,49
apparel,vêtements,35
begin,commencer,136
intend,avoir l'intention,57
blind,aveugle,64
sight,vue,46
jewel,bijou,67
black,noir,147
night,nuit,467
limbs,membres,14
quiet,silencieux,65
benefit,avantage,35
farther,plus loin,35
flatter,flatter,41
alone,seul,143
trouble,difficulté,75
friend,ami,451
wealth,richesse,62
drown,noyer,45
grieve,pleurer,58
account,Compte,38
while,tandis que,288
reign,règne,49
loving,aimant,110
buried,enterré,44
grown,grandi,56
birth,naissance,54
brought,apporté,192
march,Mars,99
better,mieux,562
morning,Matin,99
disgrace,disgrâce,12
early,de bonne heure,43
stain,tache,10
forth,en avant,291
rotten,pourri,34
enough,assez,244
wound,blessure,99
repent,se repentir,47
cross,traverser,6
fault,faute,172
bring,apporter,485
lawful,légitime,57
civil,civil,46
thief,voleur,49
spite,dépit,13
comfort,confort,179
whether,qu'il s'agisse,95
argument,argument,53
manner,manière,104
entertain,divertir,36
hence,Par conséquent,262
loves,aime,22
blame,faire des reproches,64
grief,douleur,174
wrong,faux,194
known,connu,162
pretty,jolie,113
liberty,liberté,36
follow,suivre,322
found,a trouvé,199
sleep,sommeil,89
dream,rêver,105
clear,clair,52
heavy,lourd,154
matter,matière,260
stand,supporter,177
water,eau,125
attend,assister,121
tears,larmes,78
motion,mouvement,74
until,jusqu'à,75
health,santé,85
picture,image,37
either,Soit,158
awake,éveillé,60
dearest,très cher,3
whence,d'où,73
prize,prix,45
greet,saluer,50
guard,garde,120
teach,enseigner,98
weight,poids,39
wretch,misérable,38
anger,colère,45
flesh,la chair,30
fiery,ardent,46
going,Aller,85
pleasure,plaisir,48
captain,capitaine,154
substance,substance,12
cheek,joue,84
speak,parler,324
spring,printemps,21
breath,souffle,155
virtue,vertu,184
themselves,se,46
stone,calcul,23
sword,épée,110
quick,rapide,89
judgment,jugement,87
lovers,les amoureux,22
force,Obliger,110
former,ancien,62
shore,rive,19
hours,heures,34
sovereign,souverain,42
watch,regarder,157
bound,lié,160
patience,la patience,134
pardon,pardon,261
brain,cerveau,80
wonder,merveille,108
forward,vers l'avant,76
cruel,cruel,64
indeed,En effet,351
contrary,contraire,30
memory,Mémoire,41
tower,la tour,47
advantage,avantage,66
kingdom,Royaume,100
taught,enseigné,48
action,action,110
fearful,craintif,83
beggar,mendiant,60
faith,Foi,347
these,celles-ci,78
shadow,ombre,24
voice,voix,139
souls,âmes,36
weeds,mauvaises herbes,11
common,commun,161
young,Jeune,441
remember,rappelles toi,176
carry,porter,82
coward,lâche,84
peace,paix,403
aside,de côté,28
already,déjà,107
taste,goût,15
commit,commettre,37
profit,profit,41
double,double,75
faint,perdre connaissance,37
knowing,connaissance,41
humble,humble,61
yield,rendement,141
mouth,bouche,115
subject,matière,26
praise,louange,26
equal,égal,45
precious,précieux,9
spirit,esprit,89
giving,donnant,57
familiar,familier,33
ghost,fantôme,43
farewell,adieu,259
story,récit,11
doing,Faire,61
vantage,avantage,32
train,train,86
humour,humour,92
revolt,révolte,31
false,faux,51
husband,mari,97
looks,regards,43
strange,étrange,58
power,Puissance,275
knife,couteau,34
finger,doigt,80
burden,fardeau,45
lords,seigneurs,305
smell,odeur,9
figure,figure,45
still,encore,155
third,troisième,231
colour,Couleur,89
office,Bureau,122
appear,apparaître,138
steal,voler,14
fears,peurs,17
crown,couronne,176
proclaim,proclamer,44
fresh,Frais,5
offence,infraction,77
affection,affection,71
proof,preuve,63
guilty,coupable,59
patient,patient,75
bitter,amer,71
throw,jeter,114
partly,partiellement,33
seeing,voyant,14
deliver,livrer,99
drink,boisson,150
plague,peste,97
first,première,751
prepare,préparer,57
present,présent,41
marriage,mariage,83
minds,esprits,13
unknown,inconnue,35
policy,politique,31
state,Etat,94
drunk,ivre,61
strong,fort,34
sorrow,chagrin,43
taken,pris,84
sense,sens,33
wounded,blessés,34
become,devenir,189
remain,rester,70
beyond,au-delà,57
least,moins,26
rather,plutôt,310
desire,le désir,26
heard,entendu,323
falls,des chutes,11
goodness,la bonté,17
render,rendre,43
skill,compétence,13
mistress,maîtresse,187
music,la musique,57
behind,derrière,90
tread,bande de roulement,41
learned,appris,45
whole,entier,112
swear,jurer,68
credit,crédit,37
habit,habitude,39
forbear,ancêtre,42
slain,tué,36
straight,tout droit,41
broke,cassé,80
dispatch,envoi,29
catch,capture,59
angel,ange,67
doubt,doute,159
mercy,pitié,142
fiend,démon,57
charge,charge,167
divine,Divin,35
dying,en train de mourir,41
revenge,vengeance,123
commanded,commandé,31
betray,trahir,36
affairs,affaires,19
oaths,serments,23
cupid,Cupidon,35
trial,procès,50
touch,toucher,102
withal,avec,77
france,France,374
parolles,parolles,166
french,français,197
steward,intendant,22
servant,serviteur,312
clown,pitre,342
countess,comtesse,113
mother,mère,290
daughter,fille,311
neighbour,voisine,48
mariana,Mariana,44
paris,Paris,77
scene,scène,744
palace,palais,141
enter,entrer,2095
command,commander,148
whose,dont,3
practice,entraine toi,37
excellent,excellent,104
spoke,parlait,29
enemy,ennemi,96
blest,heureux,8
speech,discours,39
exeunt,sortir,896
undone,défait,38
ambition,ambition,33
brows,sourcils,13
trick,tour,67
fancy,fantaisie,37
bones,des os,18
question,question,38
valiant,vaillant,130
warlike,guerrier,58
marry,marier,347
companion,un compagnon,37
hangs,bloque,0
murder,meurtre,66
itself,lui-même,72
desperate,désespéré,6
stomach,estomac,18
besides,outre,67
worse,pire,21
request,demande,16
fashion,mode,29
anything,n'importe quoi,84
safety,sécurité,27
valour,valeur,85
counsel,Conseil,46
advice,Conseil,26
makes,fait du,19
leisure,loisir,13
native,originaire de,42
those,ceux,27
intent,intention,37
kings,rois,50
fought,combattu,49
business,Entreprise,58
denied,refusé,44
second,seconde,485
serve,servir,28
contempt,mépris,38
royal,Royal,203
quoth,quoth,64
sickness,maladie,14
content,contenu,124
knave,fripon,157
sirrah,sirrah,119
devil,diable,191
enemies,ennemis,32
forsooth,en vérité,41
herself,se,29
finds,trouve,3
queen,reine,801
knight,Chevalier,96
choice,choix,49
round,rond,59
master,Maître,208
sister,sœur,83
gross,brut,10
noble,noble,614
honest,honnête,44
encounter,rencontre,48
dearly,chèrement,29
remedy,remède,31
danger,danger,91
success,Succès,13
court,tribunal,189
demand,demande,53
attended,assisté,39
bought,acheté,46
dance,Danse,62
report,rapport,124
measure,mesure,26
doctor,docteur,92
laugh,rire,85
traitor,traitre,116
uncle,oncle,173
peril,péril,41
judge,juge,69
flood,inonder,39
pains,des douleurs,25
glass,verre,18
courage,courage,55
hazard,danger,39
infinite,infini,33
proceed,procéder,46
match,rencontre,61
special,spécial,0
hands,mains,94
fellow,compagnon,271
chair,chaise,30
constable,gendarme,66
should,devrait,215
answer,répondre,71
warrant,mandat,162
commend,saluer,100
minister,ministre,8
afraid,peur,33
fourth,Quatrième,44
liege,Liege,85
mighty,puissant,105
scorn,mépris,19
challenge,défi,42
unworthy,indigne,35
desert,désert,9
consider,considérer,10
promise,promettre,23
estate,biens,16
smile,sourire,29
feast,le banquet,23
scarce,rare,10
beaten,battu,42
authority,autorité,39
field,champ,120
chamber,chambre,91
merry,joyeux,146
whither,où,78
yourself,toi même,96
search,chercher,15
everything,tout,39
comes,vient,55
order,ordre,78
between,entre,232
entreat,supplier,107
something,quelque chose,51
flourish,fleurir,72
quarrel,querelle,96
council,conseil,40
ground,sol,104
along,le long de,77
country,pays,112
yonder,là-bas,62
dreadful,horrible,58
speed,la vitesse,159
violent,violent,39
flight,vol,37
strength,force,29
saint,Saint,113
labour,la main d'oeuvre,68
embrace,embrasse,58
prayers,prières,23
wrath,colère,39
justice,Justice,138
approach,approche,46
brother,frère,490
house,maison,227
tarry,goudronneux,40
conduct,conduite,45
hostess,hôtesse,90
surely,sûrement,15
gallant,galant,55
courtesy,courtoisie,21
offer,offre,88
malice,malice,56
quality,qualité,40
fetch,chercher,120
undertake,entreprendre,44
bottom,bas,99
counterfeit,contrefaire,43
wings,ailes,13
soldier,soldat,170
myself,moi même,164
almost,presque,10
parted,séparé,35
lordship,seigneurie,26
holds,tient,3
meaning,sens,44
ignorant,ignorant,44
beard,barbe,73
clothes,vêtements,14
ransom,une rançon,10
witness,témoin,24
opinion,opinion,72
ourselves,nous-mêmes,22
proper,correct,79
knock,frappe,74
displeasure,mécontentement,13
company,entreprise,127
messenger,Messager,241
street,rue,45
tonight,ce soir,55
needs,Besoins,10
hereafter,"ci-après, par la suite",31
wench,jeune fille,36
horse,cheval,71
rogue,coquin,72
sound,du son,93
possible,possible,15
innocent,innocent,47
protest,manifestation,16
behalf,nom,30
endure,supporter,68
except,sauf,35
morrow,demain,98
throne,trône,35
suffer,souffrir,14
sharp,tranchant,5
course,cours,44
darkness,obscurité,8
purse,bourse,34
sport,sport,38
knows,sait,36
belike,être comme,37
haste,hâte,49
henceforth,désormais,38
foolish,insensé,11
passion,la passion,35
natural,Naturel,53
stood,se tenait,19
close,proche,19
short,court,24
ancient,ancien,72
understand,comprendre,9
cease,cesser,11
highness,altesse,87
utter,prononcer,39
deadly,mortel,43
dramatis,dramatis,15
enobarbus,énobarbus,144
dolabella,Dolabella,35
pompey,pompey,180
soothsayer,devin,36
egypt,Egypte,34
fight,bats toi,211
ladies,Dames,86
people,gens,147
sorry,Pardon,29
whore,putain,37
mirth,gaieté,36
sudden,soudain,13
bears,ours,16
occasion,occasion,13
piece,pièce,97
tailor,tailleur,47
poison,poison,23
awhile,quelque temps,52
shine,éclat,7
victory,la victoire,26
abide,respecter,35
flies,mouches,12
sweat,transpiration,10
abroad,à l'étranger,38
affections,affections,11
disposition,disposition,14
dinner,dîner,48
doors,des portes,20
dreams,rêves,10
wives,épouses,21
presence,présence,25
stroke,accident vasculaire cérébral,10
supper,souper,23
reason,raison,80
battle,bataille,109
times,fois,37
villain,scélérat,196
trumpet,trompette,118
lives,vies,41
crave,demander,58
capitol,Capitole,21
blows,coups,17
slander,calomnie,14
throat,gorge,46
speaks,parle,28
drums,tambours,9
struck,frappé,13
person,la personne,55
athens,Athènes,38
kneel,s'agenouiller,51
dread,crainte,47
unhappy,malheureux,33
meeting,réunion,44
cheer,acclamation,59
emperor,empereur,67
lieutenant,lieutenant,63
happiness,bonheur,16
staff,Personnel,16
shake,secouer,23
stars,étoiles,20
empty,vide,43
degree,diplôme,40
storm,orage,21
heads,têtes,29
waste,déchets,6
witch,sorcière,82
armour,armure,40
steel,acier,22
treasure,Trésor,7
fairy,Fée,55
chain,chaîne,52
hateful,odieux,37
discover,découvrir,5
heels,talons,22
loose,ample,9
flowers,fleurs,8
sworn,juré,23
suspect,suspect,8
fools,imbéciles,28
citizen,citoyenne,206
bodies,corps,13
kindness,la gentillesse,18
obedience,obéissance,38
gates,portes,30
realm,domaine,40
stuff,des trucs,10
slave,esclave,59
merchant,marchande,58
avoid,éviter,32
oliver,oliver,51
orlando,orlando,156
shepherd,berger,76
phebe,phebe,40
blessing,bénédiction,15
cousin,cousin,106
brook,ruisseau,66
secret,secret,7
device,dispositif,32
blush,rougir,15
monster,monstre,36
ready,prêt,111
niece,nièce,54
instant,instant,14
sentence,phrase,8
weeping,larmes,48
means,veux dire,52
guess,devine,8
absence,absence,15
suddenly,tout à coup,15
forest,forêt,31
names,des noms,11
terms,termes,25
church,église,38
fruit,fruit,39
lands,terres,16
chaste,chaste,14
respect,le respect,24
tedious,fastidieux,6
sooner,plus tôt,11
faces,visages,21
confess,avouer,31
madness,la démence,22
didst,didst,3
rascal,coquin,28
keeps,garde,3
consent,consentement,26
priest,prêtre,29
commission,commission,19
maids,servantes,14
hollow,creux,46
noise,bruit,21
vengeance,vengeance,47
beast,la bête,24
excuse,excuse,16
claim,prétendre,57
saying,en disant,14
study,étude,21
according,selon,44
modest,modeste,6
seven,Sept,13
swore,juré,7
prologue,prologue,32
syracuse,Syracuse,230
porter,porter,40
depart,partir,49
pound,livre,53
prison,prison,37
damned,damné,43
perhaps,peut-être,11
fatal,fatal,41
marcius,Marcius,87
cominius,cominius,88
weapons,armes,13
misery,misère,9
senate,sénat,32
deeds,actes,24
devise,concevoir,10
cares,se soucie,2
walls,des murs,25
tribunes,tribunes,38
defend,défendre,64
senator,sénateur,88
constant,constant,7
issue,problème,23
hector,Hector,166
ladyship,Madame,7
ulysses,Ulysse,97
store,boutique,3
single,Célibataire,5
silence,silence,61
nurse,infirmière,149
custom,Douane,20
conscience,conscience,42
curse,malédiction,18
regard,qui concerne,42
sought,recherché,5
dishonour,déshonorer,4
unless,sauf si,2
asleep,endormi,26
execution,exécution,31
despair,désespoir,14
turns,se tourne,2
mischief,sottises,15
always,toujours,3
durst,durst,1
knees,les genoux,12
drops,gouttes,9
deserve,mériter,9
accuse,accuser,4
charity,charité,37
marcus,Marcus,114
cloten,cailloter,98
posthumus,posthume,106
forces,les forces,20
glorious,glorieux,0
abuse,abuser de,11
despite,malgré,4
swift,rapide,11
season,saison,12
silver,argent,10
spare,de rechange,13
reverence,révérence,27
dagger,dague,38
brains,cerveaux,14
solemn,solennel,3
passage,passage,6
banish,bannir,1
treason,trahison,28
castle,Château,34
murther,aller plus loin,39
visit,visite,3
maintain,maintenir,39
afterwards,ensuite,2
tempest,tempête,7
appears,apparaît,11
claudio,Claudio,129
percy,Percy,69
edmund,Edmund,57
poins,poins,82
clouds,des nuages,14
gaunt,décharné,57
shortly,prochainement,10
elbow,coude,41
pistol,pistolet,165
thomas,Thomas,25
clarence,clarté,193
mowbray,mowbray,52
surrey,Surrey,45
gower,gower,50
bishop,évêque,28
slender,mince,94
satisfied,satisfait,15
tells,raconte,1
oxford,Oxford,51
summer,été,7
worship,culte,19
bedford,Bedford,46
exeter,Exeter,84
simple,Facile,52
discourse,discours,17
bastard,Connard,137
talbot,talbot,148
suffolk,suffolk,228
philip,Philippe,66
because,car,5
protector,protecteur,40
cardinal,cardinal,110
somerset,somerset,104
reignier,règne,47
margaret,margaret,186
mistake,erreur,8
cromwell,Cromwell,32
clifford,Clifford,129
raise,élever,0
rivers,rivières,43
wolsey,Wolsey,96
hubert,Hubert,86
milan,Milan,33
cinna,cinna,33
ferdinand,Ferdinand,48
maria,maria,111
duncan,Duncan,34
venice,venise,71
salerio,salerio,44
lorenzo,Lorenzo,77
padua,Padoue,30
fenton,Fenton,37
jealous,jaloux,7
oberon,Oberon,42
valentine,Valentin,205
pedro,pedro,151
claud,claud,123
emilia,Émilie,120
thrust,poussée,0
assure,assurer,2
lucentio,Lucentio,108
sacred,sacré,0
miranda,Miranda,60
ariel,Ariel,84
bassianus,bassianus,30
pandarus,Pandarus,175
several,nombreuses,0
viola,alto,140
bless,bénir,0
launce,lancer,81
julia,Julia,133
leontes,leontes,141
polixenes,polixènes,75
paulina,paulina,74
